item_id,item_name,item_description,updated_at,nf_ingredient_statement,nf_water_grams,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_refuse_pct,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,allergen_contains_milk,allergen_contains_eggs,allergen_contains_fish,allergen_contains_shellfish,allergen_contains_tree_nuts,allergen_contains_peanuts,allergen_contains_wheat,allergen_contains_soybeans,allergen_contains_gluten
56836299c869ed5b12cb75ef,"100% Juice, Apple",,2015-12-30T04:49:58.000Z,,,110,,0,,,,,,20,28,,26,0,,120,,,,8,8,fl oz,,,,,,,,,,
568893d450dbcb511c161aa0,Juice,,2016-01-03T07:22:36.000Z,,,100,,0,,,,,,15,24,,22,0,,100,,,,8,1,box,0,,,,,,,,,
51c36ca197c3e69de4b083e6,"100% Juice, Berry Flavored",Berry Flavored,2014-11-24T20:24:24.000Z,"Apple Juice Concentrate, Water, Grape Juice Concentrate, Natural Flavors, Raspberry Juice Concentrate, Ascorbic Acid (Vitamin C), Citric Acid.",,130,0,0,,,,,,20,32,,25,0,0,120,0,0,,6,2,fl oz,54,,,,,,,,,
51c36caa97c3e69de4b08437,"100% Fruit & Veggie Juice, Orange Mango",Orange Mango,2014-11-24T20:24:24.000Z,"Grape Juice, Carrot Juice, Apple Juice, Mango Puree, and Orange Juice (Water, Juice and Puree Concentrates), Sweet Potato Puree, Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C).",,130,0,0,,,,,,70,31,1,27,1,70,120,2,2,,6,8,oz,217,,,,,,,,,
51c36cba97c3e69de4b084a3,"Juice Beverage, Sparkling Orange Flavored",Sparkling Orange Flavored,2014-11-24T20:24:24.000Z,"Apple Juice, Orange Juice, and Tangerine Juice (Water, Juice Concentrates), Water, and Less than 0.5% of Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C), Carbonation Added. Gluten free.",,90,0,0,,,,,,10,21,,20,0,0,20,0,0,,4,1,can,,,,,,,,,,
51c36cbd97c3e69de4b084c9,"Juice, Grape",Grape,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, and Pear Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,70,0,0,,,,,,10,16,,15,0,0,100,0,0,,12,12,ea,,,,,,,,,,
51c36cc397c3e69de4b084fe,"J - Max, Apple Frenzy",Apple Frenzy,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, (Water, Juice Concentrates), Malic Acid, Natural Flavors, Ascorbic Acid, (Vitamin C).",,100,0,0,,,,,,15,25,,23,0,0,100,0,0,,10,1,pouch,,,,,,,,,,
51c36cc697c3e69de4b0851b,"100% Juice, Grape",Grape,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, and Pear Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,29,,28,0,0,120,0,0,,6,8,fl oz,217,,,,,,,,,
51c36ccc97c3e69de4b08556,"Juice Beverage, Flavored, Orange Strawbana Blast","Flavored, Orange Strawbana Blast",2014-11-24T20:24:24.000Z,"Apple Juice from Concentrate (Water, Juice Concentrate), Water, Orange Juice from Concentrate (Water, Juice Concentrate), Strawberry Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Banana Puree, Ascorbic Acid (Vitamin C), Citric Acid.",,60,0,0,,,,,,0,14,,13,0,0,100,0,0,,8,1,box,,,,,,,,,,
51c36ccc97c3e69de4b0855c,Orange Tangerine Flavored Juice Blend,Orange Tangerine Flavored Juice Blend,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, Orange Juice, and Tangerine Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,130,,0,,,,,,25,32,,31,0,,120,,,,6,8,fl oz,226,,,,,,,,,
51c36cd797c3e69de4b085c2,"Juice, Apple Banana",Apple Banana,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, and Pear Juice (Water, Juice Concentrates), Banana Puree, Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,29,,27,0,0,120,0,0,,8,8,fl oz,226,,,,,,,,,
51c36ce497c3e69de4b0863f,"Juice, Kiwi Strawberry",Kiwi Strawberry,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, Kiwi Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,100,0,0,,,,,,15,24,,21,0,0,100,0,0,,10,1,box,,,,,,,,,,
51c36ce697c3e69de4b0865a,"Premium 100% Juice, Orange Tangerine",Orange Tangerine,2014-11-24T20:24:24.000Z,"Grape Juice, Apple Juice, Orange Juice, and Tangerine Juice (Water, Juice Concentrates), Natural Flavors, Citric Acid, Gum Acacia and Beta Carotene for Color, Ascorbic Acid (Vitamin C).",,70,0,0,0,0,,,0,15,18,0,17,0,0,100,0,0,,,1,box,,,,,,,,,,
51c36ce697c3e69de4b0865f,"100% Juice, Apple Raspberry",Apple Raspberry,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,30,,28,0,0,120,0,0,,8,8,fl oz,226,,,,,,,,,
51c36cf397c3e69de4b086de,"100% Juice, Strawberry Banana",Strawberry Banana,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Banana Puree, Ascorbic Acid (Vitamin C), Citric Acid.",,100,0,0,,,,,,15,24,,23,0,0,100,0,0,,8,1,box,,,,,,,,,,
51d2fb4dcc9bff111580db99,"Juicy Juice, Kiwi Strawberry","Flavored, Kiwi Strawberry",2014-11-24T20:24:24.000Z,"Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Strawberry Juice from Concentrate (Water, Juice Concentrate), Kiwi Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,29,,24,0,,120,,,,8,8,fl oz,226,,,,,,,,,
